company_name,rating,bio,salary,job,founded_in,field,other,city
Oyo Rooms,3.1,Internet | Noida +121 other locations,14400.0,127.0,2012 (14 yrs old),Internet,Noida +121 other locations,noida
Pidilite Industries,4.2,Chemicals | Noida +312 other locations,11400.0,3.0,,Chemicals,Noida +312 other locations,noida
Alembic Pharmaceuticals,3.9,Pharma | Noida +187 other locations,15300.0,72.0,1907 (119 yrs old),Pharma,Noida +187 other locations,noida
Reliance Communications,4.0,Telecom | Noida +467 other locations,9600.0,77.5,2002 (24 yrs old),Telecom,Noida +467 other locations,noida
Bank of America,4.1,Banking | Noida +35 other locations,28100.0,77.5,1998 (28 yrs old),Banking,Noida +35 other locations,noida
Carelon Global Solutions,3.9,IT Services & Consulting | Noida +21 other locations,26600.0,19.0,10k-50k,IT Services & Consulting,Noida +21 other locations,noida
Publicis Sapient,3.4,IT Services & Consulting | Noida +46 other locations,30900.0,254.0,,IT Services & Consulting,Noida +46 other locations,noida
PVR INOX,3.9,Media & Entertainment | Noida +150 other locations,23700.0,77.5,,Media & Entertainment,Noida +150 other locations,noida
Subros,3.8,Auto Components | Noida +88 other locations,12500.0,1.0,1985 (41 yrs old),Auto Components,Noida +88 other locations,noida
American Express,4.1,Financial Services | Noida +53 other locations,24400.0,149.0,1850 (176 yrs old),Financial Services,Noida +53 other locations,noida
XpressBees,4.2,Logistics | Noida +474 other locations,8200.0,10.0,2015 (11 yrs old),Logistics,Noida +474 other locations,noida
PNB MetLife,3.4,Insurance | Noida +423 other locations,8000.0,15.0,2001 (25 yrs old),Insurance,Noida +423 other locations,noida
Kyndryl,3.9,IT Services & Consulting | Noida +37 other locations,26100.0,35.0,,IT Services & Consulting,Noida +37 other locations,noida
Escorts Kubota Limited,4.1,Automobile | Noida +155 other locations,13300.0,3.0,,Automobile,Noida +155 other locations,noida
Aditya Birla Sun Life Insurance,4.0,Insurance | Noida +488 other locations,9900.0,77.5,2000 (26 yrs old),Insurance,Noida +488 other locations,noida
Grasim Industries,4.0,Building Material | Noida +241 other locations,12700.0,4.0,1947 (79 yrs old),Building Material,Noida +241 other locations,noida
Aditya Birla Capital,3.8,NBFC | Noida +338 other locations,14300.0,3.0,2017 (9 yrs old),NBFC,Noida +338 other locations,noida
Maersk,4.0,Logistics | Noida +49 other locations,18900.0,32.0,,Logistics,Noida +49 other locations,noida
